Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('R', 'G')",forget,CX,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,21,False,True,0.06872370266479663,0.0665317480394637
"('R', 'G')",forget,CCX,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,0,False,True,0.00020036064916850328,0.9334682519605363
"('R', 'G')",forget,X,0.0,0.9607024568951745,0.039297543104825396,0,CX,0.25,0.25,0.25,0,0,False,True,,
"('R', 'T', 'R')",fortress,XC,0.0,0.5592364407635592,0.4407635592364408,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.9209274673008323,0.0
"('R', 'T', 'R')",fortress,CX,0.0,0.5592364407635592,0.4407635592364408,0.0,CX,0.25,0.25,0.25,0.25,20,True,True,0.06797463337296869,0.04513680846814459
"('R', 'T', 'R')",fortress,CCX,0.0,0.5592364407635592,0.4407635592364408,0.0,CX,0.25,0.25,0.25,0.25,1,True,True,0.01109789932619897,0.21789494707409626
"('R', 'T', 'R')",fortress,CCCX,0.0,0.5592364407635592,0.4407635592364408,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.7369682444577591
"('R', 'T', 'R')",fortress,X,0.0,0.5592364407635592,0.4407635592364408,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('T',)",footage,XC,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,9,True,True,0.7754046387452027,0.13074204946996465
"('T',)",footage,CX,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,12,True,True,0.22459536125479723,0.8692579505300353
"('T',)",footage,X,0.3417896651459582,0.6582103348540418,0,0,XC,0,1,0,0,0,True,True,,
"('N', 'S', 'T', 'R')",construe,XC,0.0,0.6798926026586187,0.30664983614915564,0.013457561192225617,CX,0.25,0.25,0.25,0.25,0,False,True,0.6239258861439312,0.0
"('N', 'S', 'T', 'R')",construe,CX,0.0,0.6798926026586187,0.30664983614915564,0.013457561192225617,CX,0.25,0.25,0.25,0.25,20,False,True,0.3313641245972073,0.04841040462427746
"('N', 'S', 'T', 'R')",construe,CCX,0.0,0.6798926026586187,0.30664983614915564,0.013457561192225617,CX,0.25,0.25,0.25,0.25,1,False,True,0.04430719656283566,0.16329479768786126
"('N', 'S', 'T', 'R')",construe,CCCX,0.0,0.6798926026586187,0.30664983614915564,0.013457561192225617,CX,0.25,0.25,0.25,0.25,0,False,True,0.0004027926960257787,0.7882947976878613
"('N', 'S', 'T', 'R')",construe,X,0.0,0.6798926026586187,0.30664983614915564,0.013457561192225617,CX,0.25,0.25,0.25,0.25,0,False,True,,
"('K', 'S', 'T', 'R')",dextrose,XC,0.0,0.6869440422010757,0.24252689284236653,0.07052906495655771,CX,0.25,0.25,0.25,0.25,0,True,True,0.8406295224312591,0.0
"('K', 'S', 'T', 'R')",dextrose,CX,0.0,0.6869440422010757,0.24252689284236653,0.07052906495655771,CX,0.25,0.25,0.25,0.25,6,True,True,0.14345151953690305,0.04841040462427746
"('K', 'S', 'T', 'R')",dextrose,CCX,0.0,0.6869440422010757,0.24252689284236653,0.07052906495655771,CX,0.25,0.25,0.25,0.25,12,True,True,0.015014471780028946,0.16329479768786126
"('K', 'S', 'T', 'R')",dextrose,CCCX,0.0,0.6869440422010757,0.24252689284236653,0.07052906495655771,CX,0.25,0.25,0.25,0.25,2,True,True,0.0009044862518089726,0.7882947976878613
"('K', 'S', 'T', 'R')",dextrose,X,0.0,0.6869440422010757,0.24252689284236653,0.07052906495655771,CX,0.25,0.25,0.25,0.25,1,True,True,,
"('P',)",draper,XC,0.8501439384006303,0.14985606159936973,0,0,XC,1,0,0,0,19,True,False,0.9567634342186535,0.20405522001725626
"('P',)",draper,CX,0.8501439384006303,0.14985606159936973,0,0,XC,1,0,0,0,2,True,False,0.04323656578134651,0.7959447799827438
"('P',)",draper,X,0.8501439384006303,0.14985606159936973,0,0,XC,1,0,0,0,0,True,False,,
