Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax
"('S', 'T')",tasty,X,0.3173607265365571,0.17863192208840717,0.5040073513750357,0,XC,0,0,1,0,0,True,False
"('ZH',)",leisure,XC,0.14377204380917025,0.8562279561908298,0,0,XC,0.25,0.25,0,0,19,True,True
"('ZH',)",leisure,CX,0.14377204380917025,0.8562279561908298,0,0,XC,0.25,0.25,0,0,3,True,True
"('ZH',)",leisure,X,0.14377204380917025,0.8562279561908298,0,0,XC,0.25,0.25,0,0,0,True,True
"('L',)",sully,XC,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,13,True,True
"('L',)",sully,CX,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,8,True,True
"('L',)",sully,X,0.27823975756444025,0.7217602424355597,0,0,XC,0.25,0.25,0,0,1,True,True
"('V',)",tavern,XC,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,17,True,True
"('V',)",tavern,CX,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,5,True,True
"('V',)",tavern,X,0.5401753672482296,0.4598246327517703,0,0,XC,0.25,0.25,0,0,0,True,True
"('N', 'CH')",ancient,XC,0.0,0.7308843224702862,0.2691156775297139,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'CH')",ancient,CX,0.0,0.7308843224702862,0.2691156775297139,0,CX,0.25,0.25,0.25,0,22,True,False
"('N', 'CH')",ancient,CCX,0.0,0.7308843224702862,0.2691156775297139,0,CX,0.25,0.25,0.25,0,0,True,False
"('N', 'CH')",ancient,X,0.0,0.7308843224702862,0.2691156775297139,0,CX,0.25,0.25,0.25,0,0,True,False
"('K', 'S', 'T', 'B')",textbook,XC,0.0,0.0,0.0,1.0,CCCX,0.25,0.25,0.25,0.25,0,True,True
"('K', 'S', 'T', 'B')",textbook,CX,0.0,0.0,0.0,1.0,CCCX,0.25,0.25,0.25,0.25,0,True,True
"('K', 'S', 'T', 'B')",textbook,CCX,0.0,0.0,0.0,1.0,CCCX,0.25,0.25,0.25,0.25,1,True,True
"('K', 'S', 'T', 'B')",textbook,CCCX,0.0,0.0,0.0,1.0,CCCX,0.25,0.25,0.25,0.25,21,True,True
"('K', 'S', 'T', 'B')",textbook,X,0.0,0.0,0.0,1.0,CCCX,0.25,0.25,0.25,0.25,0,True,True
"('N',)",many,XC,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,12,True,True
"('N',)",many,CX,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,10,True,True
"('N',)",many,X,0.16133575606010916,0.8386642439398908,0,0,XC,0.25,0.25,0,0,0,True,True
"('D',)",pedal,XC,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,18,True,True
"('D',)",pedal,CX,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,4,True,True
"('D',)",pedal,X,0.6414686808130189,0.3585313191869811,0,0,XC,0.25,0.25,0,0,0,True,True
"('K', 'S', 'CH')",texture,XC,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True
"('K', 'S', 'CH')",texture,CX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,12,True,True
"('K', 'S', 'CH')",texture,CCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,10,True,True
"('K', 'S', 'CH')",texture,CCCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True
"('K', 'S', 'CH')",texture,X,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True
"('N', 'SH')",tension,XC,0.0,1.0,0.0,0,CX,0,0,1,0,0,True,True
"('N', 'SH')",tension,CX,0.0,1.0,0.0,0,CX,0,0,1,0,22,True,True
"('N', 'SH')",tension,CCX,0.0,1.0,0.0,0,CX,0,0,1,0,0,True,True
"('N', 'SH')",tension,X,0.0,1.0,0.0,0,CX,0,0,1,0,0,True,True
"('JH', 'L')",fledgling,XC,0.0,1.0,0.0,0,CX,0,1,0,0,6,True,True
"('JH', 'L')",fledgling,CX,0.0,1.0,0.0,0,CX,0,1,0,0,16,True,True
