Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency
"('NG', 'K')",truncate,XC,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,0
"('NG', 'K')",truncate,CX,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,22
"('NG', 'K')",truncate,CCX,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,0
"('NG', 'K')",truncate,X,0.0,0.3890661044823895,0.6109338955176106,0,CX,0.25,0.25,0.25,0,0
"('R', 'DH')",further,XC,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('R', 'DH')",further,CX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,20
"('R', 'DH')",further,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,2
"('R', 'DH')",further,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0
"('R', 'CH')",urchin,XC,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,0
"('R', 'CH')",urchin,CX,0.0,0.5546812773044338,0.4453187226955661,0,CX,0.25,0.25,0.25,0,20
