Cluster,Word,Response,jP_XC,jP_CX,jP_CCX,jP_CCCX,OnsetMax,Morph_XC,Morph_CX,Morph_CCX,Morph_CCCX,Frequency,P_stress,P_lax,codaP,onsetP
"('D', 'V')",vaudeville,CCX,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,1,True,False,0.0,0.9282929310052551
"('D', 'V')",vaudeville,X,0.0,1.0,0.0,0,CX,0.25,0.25,0.25,0,0,True,False,,
"('M', 'S', 'T')",hamster,XC,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.9103498542274052,0.0
"('M', 'S', 'T')",hamster,CX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,20,True,True,0.08965014577259474,0.0523990860624524
"('M', 'S', 'T')",hamster,CCX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,1,True,True,0.0,0.11348057882711349
"('M', 'S', 'T')",hamster,CCCX,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.8341203351104342
"('M', 'S', 'T')",hamster,X,0.0,1.0,0.0,0.0,CX,0.25,0.25,0.25,0.25,0,True,True,,
"('M', 'S', 'T')",drumstick,XC,0.0,1.0,0.0,0.0,CX,0,1,0,0,0,True,True,0.9103498542274052,0.0
"('M', 'S', 'T')",drumstick,CX,0.0,1.0,0.0,0.0,CX,0,1,0,0,21,True,True,0.08965014577259474,0.0523990860624524
"('M', 'S', 'T')",drumstick,CCX,0.0,1.0,0.0,0.0,CX,0,1,0,0,0,True,True,0.0,0.11348057882711349
"('M', 'S', 'T')",drumstick,CCCX,0.0,1.0,0.0,0.0,CX,0,1,0,0,0,True,True,0.0,0.8341203351104342
"('M', 'S', 'T')",drumstick,X,0.0,1.0,0.0,0.0,CX,0,1,0,0,0,True,True,,
"('R', 'M')",vermin,XC,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,0,True,True,0.9392154405313949,0.0
"('R', 'M')",vermin,CX,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,21,True,True,0.05552074194761248,0.1994152046783626
"('R', 'M')",vermin,CCX,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,0,True,True,0.0052638175209926055,0.8005847953216375
"('R', 'M')",vermin,X,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,0,True,True,,
"('R', 'M')",vermouth,XC,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,0,False,True,0.9392154405313949,0.0
"('R', 'M')",vermouth,CX,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,20,False,True,0.05552074194761248,0.1994152046783626
"('R', 'M')",vermouth,CCX,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,1,False,True,0.0052638175209926055,0.8005847953216375
"('R', 'M')",vermouth,X,0.0,0.7243108730779004,0.2756891269220995,0,CX,0.25,0.25,0.25,0,0,False,True,,
"('D',)",paddock,XC,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,13,True,True,0.8771067415730337,0.21693121693121697
"('D',)",paddock,CX,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,8,True,True,0.12289325842696627,0.783068783068783
"('D',)",paddock,X,0.6641118416786628,0.3358881583213372,0,0,XC,0.25,0.25,0,0,0,True,True,,
"('R', 'K', 'HH')",workhorse,XC,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,1,True,True,0.9390977443609023,0.0
"('R', 'K', 'HH')",workhorse,CX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,2,True,True,0.055513784461152876,0.0
"('R', 'K', 'HH')",workhorse,CCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,18,True,True,0.005388471177944862,0.1406151914626491
"('R', 'K', 'HH')",workhorse,CCCX,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True,0.0,0.8593848085373509
"('R', 'K', 'HH')",workhorse,X,0.0,0.0,1.0,0.0,CCX,0.25,0.25,0.25,0.25,0,True,True,,
