Word,# of Medial Consonants,# of .C*,# of C.*,# of CC.*,# of CCC.*,# of ?,prop. of .C*,prop. of C.*,prop. of CC.*,prop. of CCC.*,prop. of ?
facet,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
plumy,1,12,10,0,0,0,0.545454545,0.454545455,0,0,0
exit,2,3,14,5,0,0,0.136363636,0.636363636,0.227272727,0,0
facade,1,20,1,0,0,1,0.909090909,0.045454545,0,0,0.045454545
number,2,1,21,0,0,0,0.045454545,0.954545455,0,0,0
coxcomb,3,0,1,21,0,0,0,0.045454545,0.954545455,0,0
fateful,2,2,20,0,0,0,0.090909091,0.909090909,0,0,0
useful,2,0,21,1,0,0,0,0.954545455,0.045454545,0,0
fauna,1,17,5,0,0,0,0.772727273,0.227272727,0,0,0
herald,1,6,16,0,0,0,0.272727273,0.727272727,0,0,0
farmland,3,0,4,18,0,0,0,0.181818182,0.818181818,0,0
cracker,1,15,7,0,0,0,0.681818182,0.318181818,0,0,0
casement,2,2,20,0,0,0,0.090909091,0.909090909,0,0,0
farmhand,3,0,4,17,0,1,0,0.181818182,0.772727273,0,0.045454545
crabby,1,13,9,0,0,0,0.590909091,0.409090909,0,0,0
craving,1,21,1,0,0,0,0.954545455,0.045454545,0,0,0
exclaim,4,0,4,18,0,0,0,0.181818182,0.818181818,0,0
altar,2,0,20,2,0,0,0,0.909090909,0.090909091,0,0
crater,1,19,3,0,0,0,0.863636364,0.136363636,0,0,0
excite,2,1,18,3,0,0,0.045454545,0.818181818,0.136363636,0,0
